"code","outstanding"
"002134","245849760.0"
"002135","1043865984.0"
"002136","214455760.0"
"002137","396458944.0"
"002138","753391936.0"
"002139","1071089856.0"
"002140","543441472.0"
"002141","1031592896.0"
"002142","6524046336.0"
"002144","137644272.0"
"002145","3812619776.0"
"002146","3896521472.0"
"002148","449345728.0"
"002149","488139264.0"
"002150","358546560.0"
"002151","441645248.0"
"002152","2482133760.0"
"002153","1599763840.0"
"002154","1421495168.0"
"002155","1201931520.0"
"002156","1517452160.0"
"002157","7154522624.0"
"002158","533602144.0"
"002159","138461712.0"
"002160","793530304.0"
"002161","713459328.0"
"002162","920697024.0"
"002163","803548864.0"
"002164","479775232.0"
"002165","727629504.0"
"002166","447566336.0"
"002167","757783872.0"
"002168","784163392.0"
"002169","758673984.0"
"002170","710960832.0"
"002171","1499350144.0"
"002172","765272000.0"
"002173","416304448.0"
"002174","915370496.0"
"002175","1276780672.0"
"002176","1706019072.0"
"002177","669210112.0"
"002178","711783168.0"
"002179","2080708864.0"
"002180","1359873792.0"
"002181","1134520192.0"
"002182","865512448.0"
"002183","2596994048.0"
"002184","240371504.0"
"002185","3203739904.0"
"002186","306511328.0"
"002187","517110976.0"
"002188","257363008.0"
"002189","261159920.0"
"002190","358729344.0"
"002191","1440824576.0"
"002192","259120224.0"
"002193","261714048.0"
"002194","510894976.0"
"002195","5613048832.0"
"002196","488410400.0"
"002197","534000000.0"
"002198","507509856.0"
"002199","243442368.0"
"002200","184132896.0"
"002201","600177664.0"
"002202","3354825216.0"
"002203","1928190336.0"
"002204","1931369984.0"
"002205","185843232.0"
"002206","916174656.0"
"002207","260807520.0"
"002208","803084352.0"
"002209","155303760.0"
"002210","2656256768.0"
"002211","432475776.0"
"002212","1167376896.0"
"002213","206020800.0"
"002214","479018912.0"
"002215","779355520.0"
"002216","630256256.0"
"002217","5680364032.0"
"002218","1392398208.0"
"002219","3272043776.0"
"002221","1460889856.0"
"002222","468151712.0"
"002223","940158144.0"
"002224","806380352.0"
"002225","825557568.0"
"002226","2648881664.0"
"002227","245936768.0"
"002228","1191475968.0"
"002229","493164288.0"
"002230","2189120512.0"
"002231","294818752.0"
"002232","408548448.0"
"002233","1191484928.0"
"002234","301408640.0"
"002235","553578304.0"
"002236","2104202880.0"
"002237","910458816.0"
"002238","802559168.0"
"002239","3243153152.0"
"002240","866650048.0"
"002241","3079183872.0"
"002242","765705728.0"
"002243","1204142336.0"
"002244","2682353664.0"
"002245","1087261312.0"
"002246","549034816.0"
"002247","643540672.0"
"002248","307495616.0"
"002249","1821830272.0"
"002250","906534144.0"
"002251","1513383040.0"
"002252","6634489856.0"
"002253","207760224.0"
"002254","818440704.0"
"002255","637972224.0"
"002256","1433146368.0"
